"TERMS AND CONDITIONS"
"https://www.bankofcanada.ca/terms/"

"SERIES"
"id","label","description"
"FXCADUSD","CAD/USD","Canadian dollar to US dollar daily exchange rate"

"OBSERVATIONS"
"date","FXCADUSD"
"2019-04-10","0.7504"
"2019-04-11","0.7475"
"2019-04-12","0.7502"
"2019-04-15","0.7488"
"2019-04-16","0.7484"
"2019-04-17","0.7501"
"2019-04-18","0.7473"
"2019-04-22","0.7489"
"2019-04-23","0.7451"
"2019-04-24","0.7421"
"2019-04-25","0.7411"
"2019-04-26","0.7429"
"2019-04-29","0.7432"
"2019-04-30","0.7450"
"2019-05-01","0.7454"
"2019-05-02","0.7428"
"2019-05-03","0.7447"
"2019-05-06","0.7432"
"2019-05-07","0.7421"
"2019-05-08","0.7426"
"2019-05-09","0.7417"
"2019-05-10","0.7453"
"2019-05-13","0.7431"
"2019-05-14","0.7424"
"2019-05-15","0.7434"
"2019-05-16","0.7441"
"2019-05-17","0.7425"
"2019-05-21","0.7455"
"2019-05-22","0.7457"
"2019-05-23","0.7419"
"2019-05-24","0.7437"
"2019-05-27","0.7439"
"2019-05-28","0.7420"
"2019-05-29","0.7400"
"2019-05-30","0.7407"
"2019-05-31","0.7393"
"2019-06-03","0.7424"
"2019-06-04","0.7455"
"2019-06-05","0.7462"
"2019-06-06","0.7475"
"2019-06-07","0.7528"
"2019-06-10","0.7537"
"2019-06-11","0.7531"
"2019-06-12","0.7517"
"2019-06-13","0.7505"
"2019-06-14","0.7471"
"2019-06-17","0.7459"
"2019-06-18","0.7466"
"2019-06-19","0.7495"
"2019-06-20","0.7581"
"2019-06-21","0.7569"
"2019-06-24","0.7579"
"2019-06-25","0.7591"
"2019-06-26","0.7616"
"2019-06-27","0.7627"
"2019-06-28","0.7641"
"2019-07-02","0.7625"
"2019-07-03","0.7649"
"2019-07-04","0.7658"
"2019-07-05","0.7634"
"2019-07-08","0.7645"
"2019-07-09","0.7618"
"2019-07-10","0.7638"
"2019-07-11","0.7651"
"2019-07-12","0.7670"
"2019-07-15","0.7669"
"2019-07-16","0.7662"
"2019-07-17","0.7661"
"2019-07-18","0.7652"
"2019-07-19","0.7651"
"2019-07-22","0.7632"
"2019-07-23","0.7609"
"2019-07-24","0.7612"
"2019-07-25","0.7607"
"2019-07-26","0.7586"
"2019-07-29","0.7599"
"2019-07-30","0.7594"
"2019-07-31","0.7606"
"2019-08-01","0.7566"
"2019-08-02","0.7561"
"2019-08-06","0.7545"
"2019-08-07","0.7506"
"2019-08-08","0.7543"
"2019-08-09","0.7564"
"2019-08-12","0.7556"
"2019-08-13","0.7555"
"2019-08-14","0.7513"
"2019-08-15","0.7505"
"2019-08-16","0.7527"
"2019-08-19","0.7520"
"2019-08-20","0.7506"
"2019-08-21","0.7531"
"2019-08-22","0.7523"
"2019-08-23","0.7513"
"2019-08-26","0.7531"
"2019-08-27","0.7537"
"2019-08-28","0.7518"
"2019-08-29","0.7521"
"2019-08-30","0.7522"
"2019-09-03","0.7495"
"2019-09-04","0.7540"
"2019-09-05","0.7560"
"2019-09-06","0.7591"
"2019-09-09","0.7602"
"2019-09-10","0.7603"
"2019-09-11","0.7587"
"2019-09-12","0.7573"
"2019-09-13","0.7543"
"2019-09-16","0.7548"
"2019-09-17","0.7543"
"2019-09-18","0.7535"
"2019-09-19","0.7542"
"2019-09-20","0.7533"
"2019-09-23","0.7536"
"2019-09-24","0.7548"
"2019-09-25","0.7536"
"2019-09-26","0.7541"
"2019-09-27","0.7548"
"2019-09-30","0.7551"
"2019-10-01","0.7551"
"2019-10-02","0.7522"
"2019-10-03","0.7502"
"2019-10-04","0.7509"
"2019-10-07","0.7515"
"2019-10-08","0.7506"
"2019-10-09","0.7505"
"2019-10-10","0.7522"
"2019-10-11","0.7577"
"2019-10-15","0.7569"
"2019-10-16","0.7575"
"2019-10-17","0.7609"
"2019-10-18","0.7615"
"2019-10-21","0.7636"
"2019-10-22","0.7637"
"2019-10-23","0.7642"
"2019-10-24","0.7648"
"2019-10-25","0.7655"
"2019-10-28","0.7659"
"2019-10-29","0.7648"
"2019-10-30","0.7603"
"2019-10-31","0.7599"
"2019-11-01","0.7601"
"2019-11-04","0.7606"
"2019-11-05","0.7603"
"2019-11-06","0.7588"
"2019-11-07","0.7590"
"2019-11-08","0.7563"
"2019-11-12","0.7560"
"2019-11-13","0.7548"
"2019-11-14","0.7543"
"2019-11-15","0.7558"
"2019-11-18","0.7568"
"2019-11-19","0.7555"
"2019-11-20","0.7517"
"2019-11-21","0.7527"
"2019-11-22","0.7526"
"2019-11-25","0.7515"
"2019-11-26","0.7526"
"2019-11-27","0.7531"
"2019-11-28","0.7527"
"2019-11-29","0.7525"
"2019-12-02","0.7520"
"2019-12-03","0.7518"
"2019-12-04","0.7563"
"2019-12-05","0.7591"
"2019-12-06","0.7544"
"2019-12-09","0.7556"
"2019-12-10","0.7557"
"2019-12-11","0.7575"
"2019-12-12","0.7586"
"2019-12-13","0.7586"
"2019-12-16","0.7609"
"2019-12-17","0.7599"
"2019-12-18","0.7623"
"2019-12-19","0.7621"
"2019-12-20","0.7596"
"2019-12-23","0.7599"
"2019-12-24","0.7601"
"2019-12-27","0.7646"
"2019-12-30","0.7658"
